longer, dłuższy
far below, daleko niżej
far right, daleko z prawej
near right, obok z prawej
near below, obok niżej
close right, blisko z prawej
close below, blisko niżej
edge below, brzeg na dole
edge right, brzeg z prawej
inside below, wewnątrz na dole
inside right, wewnątrz z prawej
inside above, wewnątrz powyżej
inside left, wewnątrz z lewej
edge above, brzeg powyżej
edge left, brzeg z lewej
close left, blisko z lewej
close above, blisko wyżej
near above, obok wyżej
near left, obok z lewej
far above, daleko powyżej
far left, daleko po lewej
inside, wewnątrz
crossing, przecina
touching, dotyka
close, blisko
near, obok
far, daleko
larger, większy
split, dzieli
same, taki sam
above, powyżej górnej krawędzi
left-above, lewo wyżej
left, po lewej
horizontal, poziomo
vertical, pionowo
centered, na środku
left-below, niżej z lewej
below, niżej
right-below, niżej z prawej
right, po prawej
right-above, z prawej powyżej